lat,long
42.64924566,-71.32329998
42.64924863,-71.32329536
42.6492138,-71.32332241
42.64922894,-71.32332742
42.64922859,-71.32333127
42.64921978,-71.32331512
42.64922917,-71.32326953
42.64922931,-71.32323515
42.64923972,-71.32319541
42.64925789,-71.32317467
42.64925688,-71.32315393
42.64927027,-71.32314556
42.64927655,-71.32311945
42.64928009,-71.3230888
42.649273,-71.32305115
42.64926933,-71.32301024
42.64924502,-71.32294829
42.64922132,-71.3228953
42.64919085,-71.3228431
42.64915654,-71.32276434
42.64912328,-71.32272265
42.64909837,-71.32268506
42.64907177,-71.32265168
42.64902458,-71.32263264
42.64895878,-71.32263692
42.64892361,-71.32266358
42.64888028,-71.32269724
42.64878249,-71.32279004
42.64874287,-71.32287909
42.64869224,-71.32294712
42.64863041,-71.32303547
42.64853756,-71.32311733
42.64849315,-71.32321998
42.64842107,-71.32332117
42.64835313,-71.32341315
42.6482732,-71.32350575
42.64820636,-71.32358838
42.64814851,-71.32366628
42.64810148,-71.32373507
42.64807302,-71.32379161
42.64805829,-71.32381979
42.64804849,-71.32383723
42.64804082,-71.3238529
42.64803159,-71.32387012
42.6480234,-71.32388135
42.64801226,-71.32389156
42.64801218,-71.32388432
42.64801008,-71.32387897
42.64800955,-71.32388016
42.64799608,-71.32388121
42.64799186,-71.32389676
42.64798345,-71.32390386
42.64795928,-71.32392389
42.64792758,-71.32394925
42.64790306,-71.32395914
42.64785454,-71.32394693
42.64781855,-71.32392682
42.64778583,-71.32389602
42.64774375,-71.32385762
42.6477008,-71.32381718
42.64765596,-71.32378072
42.64760521,-71.32373606
42.64754175,-71.32367675
42.64746701,-71.32361284
42.64738702,-71.3235317
42.64729842,-71.32344786
42.64719583,-71.32336395
42.64710386,-71.32327689
42.64701321,-71.32320036
42.64691394,-71.32312191
42.64682597,-71.32304012
42.64673161,-71.32296053
42.6466336,-71.32286829
42.64653379,-71.32278054
42.64642231,-71.32270044
42.6463188,-71.3226399
42.64623038,-71.32254216
42.64611412,-71.3224465
42.6460075,-71.32234067
42.64589025,-71.32225569
42.64578076,-71.32214495
42.64567112,-71.32202531
42.64556733,-71.32190338
42.64546435,-71.321817
42.64535962,-71.3217128
42.64525264,-71.32162943
42.64515482,-71.32156113
42.64506921,-71.32151171
42.64497874,-71.32149107
42.64488597,-71.32149939
42.64480089,-71.32150712
42.64471268,-71.32152415
42.64464001,-71.32153461
42.64458732,-71.32153888
42.64456213,-71.32155002
42.64455339,-71.32154802
42.6445572,-71.3215443
42.64455052,-71.32154084
42.64453021,-71.32154203
42.64449492,-71.32154439
42.64444915,-71.321537
42.6443979,-71.32152473
42.6443467,-71.3215209
42.64427472,-71.32152689
42.64417914,-71.32153312
42.64407011,-71.32153908
42.6439992,-71.32154795
42.64391895,-71.32155301
42.64387644,-71.32155549
42.64384287,-71.32155553
42.64379936,-71.32155313
42.64381389,-71.32154626
42.64378828,-71.32156035
42.6437662,-71.32157927
42.64374908,-71.32163669
42.64373469,-71.32169966
42.64372881,-71.32180346
42.64372688,-71.32190595
42.64372022,-71.32200159
42.6437056,-71.32209441
42.64369612,-71.32220781
42.643682,-71.32232633
42.64367819,-71.32245746
42.64369074,-71.32261855
42.64366975,-71.32275794
42.64361592,-71.32289797
42.64360229,-71.32306663
42.64357454,-71.32321843
42.64354304,-71.32338452
42.64351265,-71.32354826
42.64347504,-71.32371492
42.6434586,-71.32387313
42.64343094,-71.32401988
42.64342121,-71.32418669
42.64341477,-71.32433642
42.64336784,-71.3245087
42.6433714,-71.32459087
42.64334637,-71.32469469
42.64332896,-71.32482011
42.6432534,-71.32500212
42.64322924,-71.32512445
42.64321495,-71.32525433
42.64319862,-71.32537897
42.64316736,-71.32545414
42.64317205,-71.32553603
42.64316232,-71.32556557
42.64317375,-71.32562406
42.64317699,-71.32563359
42.64317679,-71.32563334
42.64316597,-71.32562817
42.64316614,-71.32562845
42.64316383,-71.3256256
42.6431575,-71.32561485
42.64315599,-71.32560834
42.64316157,-71.32560705
42.64316271,-71.32560417
42.64316266,-71.32560208
42.64315643,-71.32559295
42.64315657,-71.32559318
42.64314916,-71.32559092
42.6431546,-71.3256053
42.64315252,-71.32563473
42.64313701,-71.32567994
42.64312767,-71.3257531
42.64311339,-71.32586023
42.64310045,-71.32597213
42.64308491,-71.32608075
42.64305786,-71.32618626
42.64303355,-71.32632309
42.64300989,-71.32643586
42.64300228,-71.32658074
42.64300041,-71.32673267
42.64298537,-71.32689354
42.64296539,-71.32704593
42.64295306,-71.32721664
42.64294122,-71.32738808
42.64293115,-71.32756774
42.64291948,-71.32773269
42.64290408,-71.32789966
42.64289443,-71.32806792
42.6428772,-71.32822877
42.64287372,-71.32840391
42.6428663,-71.3285752
42.6428572,-71.32874162
42.64284664,-71.32891523
42.64282474,-71.32908147
42.64280611,-71.32924142
42.64278718,-71.32939383
42.64275857,-71.32952584
42.64273774,-71.32965782
42.64271489,-71.32975615
42.64270685,-71.3298242
42.64268753,-71.32987845
42.64266664,-71.32993847
42.64264629,-71.33002063
42.64262012,-71.33011522
42.64258819,-71.33023276
42.64256515,-71.33034762
42.64252449,-71.33046818
42.64249169,-71.33057231
42.6424704,-71.3306707
42.64244969,-71.33076227
42.64243799,-71.33083183
42.64242027,-71.33088205
42.64240797,-71.33093152
42.64239922,-71.33098185
42.64239402,-71.33101592
42.64237258,-71.33103857
42.64236502,-71.33104597
42.64236231,-71.33105468
42.64234849,-71.33106079
42.64234373,-71.33107939
42.64234965,-71.33111587
42.64236541,-71.33117153
42.64239383,-71.33121708
42.64241776,-71.3312649
42.64246783,-71.33129459
42.64257735,-71.33129676
42.6426678,-71.33132399
42.64272412,-71.33140186
42.64279841,-71.33145075
42.64289952,-71.33150342
42.64300474,-71.33155253
42.64310655,-71.33159815
42.64321038,-71.33164723
42.64331075,-71.33168711
42.64341608,-71.33172355
42.64351139,-71.33173974
42.64359285,-71.33177033
42.64366163,-71.33179415
42.64370186,-71.33180505
42.64371793,-71.33181886
42.64372684,-71.33181689
42.64372484,-71.33181439
42.64373331,-71.33181109
42.64374741,-71.33180637
42.64376809,-71.33182016
42.64378736,-71.33185117
42.64380735,-71.33189704
42.64381772,-71.33194859
42.64383764,-71.33200951
42.64383066,-71.33206261
42.64382067,-71.33211145
42.64380555,-71.33221807
42.64377486,-71.33231941
42.64377606,-71.33240788
42.64372799,-71.33246442
42.64373049,-71.33256649
42.64372841,-71.33265175
42.64371814,-71.33271941
42.64372391,-71.33277016
42.64372947,-71.33283005
42.6437376,-71.33292724
42.64375545,-71.33299908
42.6437533,-71.33309036
42.64375117,-71.33317542
42.64374125,-71.33325107
42.64373052,-71.33333103
42.64371685,-71.33341813
42.6436994,-71.3334997
42.64369194,-71.33358516
42.64367795,-71.33365008
42.64366619,-71.33370156
42.64365732,-71.33371651
42.64366283,-71.33372668
42.64365209,-71.33371942
42.6436519,-71.33370461
42.64365144,-71.33369423
42.64365705,-71.33368734
42.64365867,-71.33368083
42.64366334,-71.33367389
42.64366316,-71.33367442
42.6436665,-71.33368032
42.64365948,-71.33371158
42.64364808,-71.33375693
42.64363105,-71.3337914
42.64361288,-71.3338281
42.64359001,-71.33386565
42.64355902,-71.33388306
42.64351946,-71.33389107
42.64351142,-71.33388598
42.64350681,-71.33388413
42.64351176,-71.33387445
42.6435153,-71.33387239
42.64351989,-71.33387343
42.64352197,-71.333871
42.64352304,-71.3338688
42.64352182,-71.33386352
42.64352191,-71.33385935
42.64351979,-71.33385626
42.64351699,-71.33385336
42.64351547,-71.33385128
42.64351611,-71.33385036
42.64351588,-71.33385012
42.643516,-71.33385005
42.64351598,-71.33384987
42.64351592,-71.33384981
42.64351589,-71.33384979
42.64351581,-71.33384976
42.64351578,-71.33384976
42.64351571,-71.33384976
42.64351565,-71.33384978
42.64351561,-71.3338498
42.64351558,-71.3338498
42.64351559,-71.33384982
42.64351594,-71.33384964
42.64349808,-71.33385908
42.64349387,-71.33386229
42.64349552,-71.33386705
42.64349218,-71.33387169
42.64348528,-71.3338759
42.64348408,-71.33387622
42.64347891,-71.33388107
42.64347482,-71.33388211
42.64347409,-71.33388269
42.64347181,-71.33388338
42.64347002,-71.33388512
42.64346903,-71.33388582
42.64346906,-71.3338859
42.64346892,-71.33388599
42.64346884,-71.33388597
42.6434688,-71.33388599
42.64346877,-71.33388601
42.64346879,-71.333886
42.64346877,-71.33388605
42.64346877,-71.33388606
42.64346872,-71.33388608
42.64346868,-71.3338861
42.64346866,-71.33388612
42.64346864,-71.33388612
42.64346859,-71.33388616
42.64346853,-71.33388617
42.64346849,-71.3338862
42.64346848,-71.33388621
42.64346845,-71.33388625
42.64346845,-71.33388627
42.64346846,-71.33388629
42.64346848,-71.33388631
42.6434685,-71.33388637
42.64346853,-71.33388642
42.64346853,-71.33388646
42.64346853,-71.33388651
42.6434685,-71.33388656
42.6434685,-71.33388663
42.64346853,-71.33388667
42.64346856,-71.3338867
42.6434686,-71.33388673
42.64346862,-71.33388673
42.64346864,-71.3338867
42.64346864,-71.33388666
42.64346862,-71.33388662
42.64346856,-71.3338866
42.64346852,-71.33388656
42.64346849,-71.33388655
